Bloque,Subtema,Nombre normalizado,URL,Fuente,Utilidad didáctica,Estado,Método de incorporación,DOCX puente,Tipo de duda,Modo pedagógico,Ejemplo de pregunta
ortografía,acentuación y grafías,Ortografía — FundéuRAE — tilde en monosílabos prefijados,https://www.fundeu.es/recomendacion/tilde-megaplan-antigas-biogas-traspie-sobreuso-preve-superyo-repon/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar tilde en monosílabos prefijados.",añadida por URL directa,URL,,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de tilde en monosílabos prefijados en mi frase?
ortotipografía,convenciones gráficas,"Ortotipografía — FundéuRAE — jazz, cursiva",https://www.fundeu.es/recomendacion/jazz/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar jazz, cursiva.",añadida por URL directa,URL,,ortotipográfica,consulta directa,"¿Cómo se aplica correctamente el criterio de jazz, cursiva en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — combinado en deportes,https://www.fundeu.es/recomendacion/combinado-significado-en-deportes/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar combinado en deportes.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de combinado en deportes en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — estrecho de Ormuz, claves",https://www.fundeu.es/recomendacion/efectos-bloqueo-estrecho-ormuz-sector-agroalimentario/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar estrecho de Ormuz, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de estrecho de Ormuz, claves en mi frase?"
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — Mali y Malí,https://www.fundeu.es/recomendacion/mali-llana-aguda/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Mali y Malí.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de Mali y Malí en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — Chernóbil, claves",https://www.fundeu.es/recomendacion/40-anos-del-accidente-de-chernobil-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar Chernóbil, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de Chernóbil, claves en mi frase?"
ortografía,acentuación y grafías,Ortografía — FundéuRAE — petroyuán con tilde,https://www.fundeu.es/recomendacion/petroyuan-con-tilde/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar petroyuán con tilde.",añadida por URL directa,URL,,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de petroyuán con tilde en mi frase?
estilo,adecuación y redacción,"Estilo — FundéuRAE — música punk, claves",https://www.fundeu.es/recomendacion/medio-siglo-de-musica-punk-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar música punk, claves.",añadida por URL directa,URL,,estilística,guiado-aplicado,"¿Cómo se aplica correctamente el criterio de música punk, claves en mi frase?"
gramática,morfología y clases de palabras,"Gramática — FundéuRAE — ultimátum, plural",https://www.fundeu.es/recomendacion/ultimatum-ultimatums-ultimato-ultimatos/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar ultimátum, plural.",añadida por URL directa,URL,,gramatical,socrático fuerte,"¿Cómo se aplica correctamente el criterio de ultimátum, plural en mi frase?"
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — siglas y acrónimos,https://www.fundeu.es/recomendacion/siglas-y-acronimos-claves-de-redaccion/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar siglas y acrónimos.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de siglas y acrónimos en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — símbolos y abreviaturas,https://www.fundeu.es/recomendacion/claves-para-usar-simbolos-y-abreviaturas-1189/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar símbolos y abreviaturas.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de símbolos y abreviaturas en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — comillas,https://www.fundeu.es/recomendacion/comillas-uso-de-este-signo-ortografico/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar comillas.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de comillas en mi frase?
ortografía,acentuación y grafías,Ortografía — FundéuRAE — guion,https://www.fundeu.es/recomendacion/guion-claves-para-usar-este-signo-1250/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar guion.",añadida por URL directa,URL,,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de guion en mi frase?
puntuación,signos y delimitación,Puntuación — FundéuRAE — punto y coma,https://www.fundeu.es/recomendacion/punto-y-coma-claves-de-uso/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar punto y coma.",añadida por URL directa,URL,,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de punto y coma en mi frase?
puntuación,signos y delimitación,Puntuación — FundéuRAE — puntos suspensivos,https://www.fundeu.es/recomendacion/puntos-suspensivos-claves-para-un-uso-adecuado/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar puntos suspensivos.",añadida por URL directa,URL,,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de puntos suspensivos en mi frase?
puntuación,signos y delimitación,Puntuación — FundéuRAE — etcétera y puntos suspensivos,https://www.fundeu.es/recomendacion/etc-no-va-seguido-de-puntos-suspensivos-1531/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar etcétera y puntos suspensivos.",añadida por URL directa,URL,,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de etcétera y puntos suspensivos en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — fechas,https://www.fundeu.es/recomendacion/como-se-escriben-las-fechas/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar fechas.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de fechas en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — números ordinales,https://www.fundeu.es/recomendacion/numero-ordinales-claves-de-escritura/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar números ordinales.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de números ordinales en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — FundéuRAE — miles y millones,https://www.fundeu.es/recomendacion/miles-y-millones-claves-de-escritura/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar miles y millones.",añadida por URL directa,URL,,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de miles y millones en mi frase?
puntuación,signos y delimitación,Puntuación — FundéuRAE — decimales: coma y punto,https://www.fundeu.es/recomendacion/decimales-coma-y-punto-son-ambas-validas/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar decimales: coma y punto.",añadida por URL directa,URL,,ortográfica,socrático fuerte,¿Cómo se aplica correctamente el criterio de decimales: coma y punto en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — FundéuRAE — siglas y abreviaturas,https://www.fundeu.es/recomendacion/siglas-y-abreviaturas-claves-de-escritura/,FundéuRAE,"Criterio y ejemplos para diagnosticar, explicar y practicar siglas y abreviaturas.",añadida por URL directa,URL,,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de siglas y abreviaturas en mi frase?
