Categoría,Subcategoría,Concepto o duda,Variante de búsqueda usada,Fuente,URL exacta,Nombre normalizado de la fuente en NotebookLM,Estado,Método de incorporación,Ruta del DOCX puente si procede,Error de importación si procede,Breve descripción de utilidad didáctica,Prioridad,Ejemplo de pregunta del alumno,Modo pedagógico recomendado,Tipo de duda,Fecha de consulta,Referencia bibliográfica APA
léxico/semántica,precisión léxica y préstamos,construcción consecutiva,site:rae.es construcción consecutiva,GTG,https://www.rae.es/gtg/construcci%C3%B3n-consecutiva,Léxico y semántica — GTG — construcción consecutiva,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar construcción consecutiva.",media,¿Cómo se aplica correctamente el criterio de construcción consecutiva en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/construcci%C3%B3n-consecutiva"
sintaxis,construcción y relaciones sintácticas,coordinación,site:rae.es coordinación,GTG,https://www.rae.es/gtg/coordinaci%C3%B3n,Sintaxis — GTG — coordinación,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar coordinación.",alta,¿Cómo se aplica correctamente el criterio de coordinación en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/coordinaci%C3%B3n"
sintaxis,construcción y relaciones sintácticas,elipsis,site:rae.es elipsis,GTG,https://www.rae.es/gtg/elipsis,Sintaxis — GTG — elipsis,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar elipsis.",alta,¿Cómo se aplica correctamente el criterio de elipsis en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/elipsis"
léxico/semántica,precisión léxica y préstamos,gentilicio,site:rae.es gentilicio,GTG,https://www.rae.es/gtg/gentilicio,Léxico y semántica — GTG — gentilicio,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar gentilicio.",media,¿Cómo se aplica correctamente el criterio de gentilicio en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/gentilicio"
gramática,morfología y clases de palabras,interjección,site:rae.es interjección,GTG,https://www.rae.es/gtg/interjecci%C3%B3n,Gramática — GTG — interjección,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar interjección.",alta,¿Cómo se aplica correctamente el criterio de interjección en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/interjecci%C3%B3n"
gramática,morfología y clases de palabras,morfema,site:rae.es morfema,GTG,https://www.rae.es/gtg/morfema,Gramática — GTG — morfema,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar morfema.",alta,¿Cómo se aplica correctamente el criterio de morfema en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/morfema"
léxico/semántica,precisión léxica y préstamos,nombre propio,site:rae.es nombre propio,GTG,https://www.rae.es/gtg/nombre-propio,Léxico y semántica — GTG — nombre propio,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar nombre propio.",media,¿Cómo se aplica correctamente el criterio de nombre propio en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/nombre-propio"
ortotipografía,convenciones gráficas,numeral,site:rae.es numeral,GTG,https://www.rae.es/gtg/numeral,Ortotipografía — GTG — numeral,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar numeral.",media,¿Cómo se aplica correctamente el criterio de numeral en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/numeral"
sintaxis,construcción y relaciones sintácticas,oración coordinada copulativa,site:rae.es oración coordinada copulativa,GTG,https://www.rae.es/gtg/oraci%C3%B3n-coordinada-copulativa,Sintaxis — GTG — oración coordinada copulativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración coordinada copulativa.",alta,¿Cómo se aplica correctamente el criterio de oración coordinada copulativa en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-coordinada-copulativa"
sintaxis,construcción y relaciones sintácticas,oración coordinada disyuntiva,site:rae.es oración coordinada disyuntiva,GTG,https://www.rae.es/gtg/oraci%C3%B3n-coordinada-disyuntiva,Sintaxis — GTG — oración coordinada disyuntiva,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración coordinada disyuntiva.",alta,¿Cómo se aplica correctamente el criterio de oración coordinada disyuntiva en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-coordinada-disyuntiva"
puntuación,signos y delimitación,oración de modalidad exclamativa,site:rae.es oración de modalidad exclamativa,GTG,https://www.rae.es/gtg/oraci%C3%B3n-de-modalidad-exclamativa,Puntuación — GTG — oración de modalidad exclamativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración de modalidad exclamativa.",alta,¿Cómo se aplica correctamente el criterio de oración de modalidad exclamativa en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-de-modalidad-exclamativa"
puntuación,signos y delimitación,oración de modalidad interrogativa,site:rae.es oración de modalidad interrogativa,GTG,https://www.rae.es/gtg/oraci%C3%B3n-de-modalidad-interrogativa,Puntuación — GTG — oración de modalidad interrogativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración de modalidad interrogativa.",alta,¿Cómo se aplica correctamente el criterio de oración de modalidad interrogativa en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-de-modalidad-interrogativa"
sintaxis,construcción y relaciones sintácticas,oración subordinada,site:rae.es oración subordinada,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada,Sintaxis — GTG — oración subordinada,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada"
sintaxis,construcción y relaciones sintácticas,oración subordinada adverbial causal,site:rae.es oración subordinada adverbial causal,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-causal,Sintaxis — GTG — oración subordinada adverbial causal,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial causal.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial causal en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-causal"
sintaxis,construcción y relaciones sintácticas,oración subordinada adverbial condicional,site:rae.es oración subordinada adverbial condicional,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-condicional,Sintaxis — GTG — oración subordinada adverbial condicional,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial condicional.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial condicional en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-condicional"
sintaxis,construcción y relaciones sintácticas,oración subordinada adverbial final,site:rae.es oración subordinada adverbial final,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-final,Sintaxis — GTG — oración subordinada adverbial final,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial final.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial final en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-final"
sintaxis,construcción y relaciones sintácticas,oración subordinada adverbial ilativa,site:rae.es oración subordinada adverbial ilativa,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-ilativa,Sintaxis — GTG — oración subordinada adverbial ilativa,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada adverbial ilativa.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada adverbial ilativa en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada-adverbial-ilativa"
sintaxis,construcción y relaciones sintácticas,oración subordinada de relativo,site:rae.es oración subordinada de relativo,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-de-relativo,Sintaxis — GTG — oración subordinada de relativo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada de relativo.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada de relativo en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada-de-relativo"
sintaxis,construcción y relaciones sintácticas,oración subordinada sustantiva,site:rae.es oración subordinada sustantiva,GTG,https://www.rae.es/gtg/oraci%C3%B3n-subordinada-sustantiva,Sintaxis — GTG — oración subordinada sustantiva,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar oración subordinada sustantiva.",alta,¿Cómo se aplica correctamente el criterio de oración subordinada sustantiva en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/oraci%C3%B3n-subordinada-sustantiva"
ortografía,acentuación y grafías,prefijo,site:rae.es prefijo,GTG,https://www.rae.es/gtg/prefijo,Ortografía — GTG — prefijo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar prefijo.",alta,¿Cómo se aplica correctamente el criterio de prefijo en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/prefijo"
sintaxis,construcción y relaciones sintácticas,sujeto,site:rae.es sujeto,GTG,https://www.rae.es/gtg/sujeto,Sintaxis — GTG — sujeto,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar sujeto.",alta,¿Cómo se aplica correctamente el criterio de sujeto en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/sujeto"
puntuación,signos y delimitación,vocativo,site:rae.es vocativo,GTG,https://www.rae.es/gtg/vocativo,Puntuación — GTG — vocativo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar vocativo.",alta,¿Cómo se aplica correctamente el criterio de vocativo en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/vocativo"
sintaxis,construcción y relaciones sintácticas,yuxtaposición,site:rae.es yuxtaposición,GTG,https://www.rae.es/gtg/yuxtaposici%C3%B3n,Sintaxis — GTG — yuxtaposición,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar yuxtaposición.",alta,¿Cómo se aplica correctamente el criterio de yuxtaposición en mi frase?,socrático fuerte,gramatical,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Glosario de términos gramaticales. Recuperado el 25 de junio de 2026, de https://www.rae.es/gtg/yuxtaposici%C3%B3n"
léxico/semántica,precisión léxica y préstamos,La representación gráfica de los fonemas,site:rae.es La representación gráfica de los fonemas,Ortografía,https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-de-los-fonemas-el-uso-de-las-letras-o-grafemas,Léxico y semántica — Ortografía — La representación gráfica de los fonemas,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar La representación gráfica de los fonemas.",media,¿Cómo se aplica correctamente el criterio de La representación gráfica de los fonemas en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-de-los-fonemas-el-uso-de-las-letras-o-grafemas"
ortografía,acentuación y grafías,La representación gráfica del acento,site:rae.es La representación gráfica del acento,Ortografía,https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-del-acento-el-uso-de-la-tilde,Ortografía — Ortografía — La representación gráfica del acento,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar La representación gráfica del acento.",alta,¿Cómo se aplica correctamente el criterio de La representación gráfica del acento en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-del-acento-el-uso-de-la-tilde"
puntuación,signos y delimitación,El uso de los signos ortográficos,site:rae.es El uso de los signos ortográficos,Ortografía,https://www.rae.es/ortografía/el-uso-de-los-signos-ortogr%C3%A1ficos,Puntuación — Ortografía — El uso de los signos ortográficos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar El uso de los signos ortográficos.",alta,¿Cómo se aplica correctamente el criterio de El uso de los signos ortográficos en mi frase?,socrático fuerte,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/el-uso-de-los-signos-ortogr%C3%A1ficos"
ortotipografía,convenciones gráficas,Minúsculas y mayúsculas,site:rae.es Minúsculas y mayúsculas,Ortografía,https://www.rae.es/ortografía/el-uso-de-las-letras-min%C3%BAsculas-y-may%C3%BAsculas,Ortotipografía — Ortografía — Minúsculas y mayúsculas,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar Minúsculas y mayúsculas.",media,¿Cómo se aplica correctamente el criterio de Minúsculas y mayúsculas en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/el-uso-de-las-letras-min%C3%BAsculas-y-may%C3%BAsculas"
léxico/semántica,precisión léxica y préstamos,Representación de las unidades léxicas,site:rae.es Representación de las unidades léxicas,Ortografía,https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-de-las-unidades-l%C3%A9xicas,Léxico y semántica — Ortografía — Representación de las unidades léxicas,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar Representación de las unidades léxicas.",media,¿Cómo se aplica correctamente el criterio de Representación de las unidades léxicas en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/la-representaci%C3%B3n-gr%C3%A1fica-de-las-unidades-l%C3%A9xicas"
léxico/semántica,precisión léxica y préstamos,Extranjerismos y latinismos,site:rae.es Extranjerismos y latinismos,Ortografía,https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-las-expresiones-procedentes-de-otras-lenguas,Léxico y semántica — Ortografía — Extranjerismos y latinismos,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar Extranjerismos y latinismos.",media,¿Cómo se aplica correctamente el criterio de Extranjerismos y latinismos en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-las-expresiones-procedentes-de-otras-lenguas"
léxico/semántica,precisión léxica y préstamos,Ortografía de nombres propios,site:rae.es Ortografía de nombres propios,Ortografía,https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-los-nombres-propios,Léxico y semántica — Ortografía — Ortografía de nombres propios,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar Ortografía de nombres propios.",media,¿Cómo se aplica correctamente el criterio de Ortografía de nombres propios en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-los-nombres-propios"
léxico/semántica,precisión léxica y préstamos,Expresiones numéricas,site:rae.es Expresiones numéricas,Ortografía,https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-las-expresiones-num%C3%A9ricas,Léxico y semántica — Ortografía — Expresiones numéricas,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar Expresiones numéricas.",media,¿Cómo se aplica correctamente el criterio de Expresiones numéricas en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Ortografía de la lengua española. Recuperado el 25 de junio de 2026, de https://www.rae.es/ortografía/la-ortograf%C3%ADa-de-las-expresiones-num%C3%A9ricas"
léxico/semántica,precisión léxica y préstamos,"fan zone, alternativas en español","site:fundeu.es/recomendacion fan zone, alternativas en español",FundéuRAE,https://www.fundeu.es/recomendacion/zona-hinchas-fans-aficionados-barra-hichada/,"Léxico y semántica — FundéuRAE — fan zone, alternativas en español",añadida por URL directa,URL,,,"Criterio y ejemplos para diagnosticar, explicar y practicar fan zone, alternativas en español.",media,"¿Cómo se aplica correctamente el criterio de fan zone, alternativas en español en mi frase?",guiado-aplicado,léxica,2026-06-25,"FundéuRAE. (s. f.). fan zone, alternativas en español. Recuperado el 25 de junio de 2026, de https://www.fundeu.es/recomendacion/zona-hinchas-fans-aficionados-barra-hichada/"
léxico/semántica,precisión léxica y préstamos,"en caso de que, no en caso que","site:fundeu.es/recomendacion en caso de que, no en caso que",FundéuRAE,https://www.fundeu.es/recomendacion/en-caso-de-que-no-en-caso-que/,"Léxico y semántica — FundéuRAE — en caso de que, no en caso que",añadida por URL directa,URL,,,"Criterio y ejemplos para diagnosticar, explicar y practicar en caso de que, no en caso que.",media,"¿Cómo se aplica correctamente el criterio de en caso de que, no en caso que en mi frase?",guiado-aplicado,léxica,2026-06-25,"FundéuRAE. (s. f.). en caso de que, no en caso que. Recuperado el 25 de junio de 2026, de https://www.fundeu.es/recomendacion/en-caso-de-que-no-en-caso-que/"
léxico/semántica,precisión léxica y préstamos,descanso o entretiempo,site:fundeu.es/recomendacion descanso o entretiempo,FundéuRAE,https://www.fundeu.es/recomendacion/descanso-entretiempo-mejor-que-media-parte/,Léxico y semántica — FundéuRAE — descanso o entretiempo,añadida por URL directa,URL,,,"Criterio y ejemplos para diagnosticar, explicar y practicar descanso o entretiempo.",media,¿Cómo se aplica correctamente el criterio de descanso o entretiempo en mi frase?,guiado-aplicado,léxica,2026-06-25,"FundéuRAE. (s. f.). descanso o entretiempo. Recuperado el 25 de junio de 2026, de https://www.fundeu.es/recomendacion/descanso-entretiempo-mejor-que-media-parte/"
léxico/semántica,precisión léxica y préstamos,masa de aire cálido,site:fundeu.es/recomendacion masa de aire cálido,FundéuRAE,https://www.fundeu.es/recomendacion/masa-de-aire-calido-masa-de-calor/,Léxico y semántica — FundéuRAE — masa de aire cálido,añadida por URL directa,URL,,,"Criterio y ejemplos para diagnosticar, explicar y practicar masa de aire cálido.",media,¿Cómo se aplica correctamente el criterio de masa de aire cálido en mi frase?,guiado-aplicado,léxica,2026-06-25,"FundéuRAE. (s. f.). masa de aire cálido. Recuperado el 25 de junio de 2026, de https://www.fundeu.es/recomendacion/masa-de-aire-calido-masa-de-calor/"
